"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","ZROBA","ONE","ZFW","2020/03/26","Y","BOOVE.ZROBA1","DFW"
"2025/11/27","BOUNO","FIVE","ZNY","2023/11/30","N","BOUNO.BOUNO5","HPN"
"2025/11/27","BRAYMER","EIGHT","ZKC","2023/04/20","N","BQS.BQS8","FLV GPH IXD LXT MCI MKC OJC STJ"
"2025/11/27","BRADE","SIX","ZDC","2018/05/24","N","BRADE.BRADE6","RDU"
"2025/11/27","BRBBQ","THREE","ZME","2018/02/01","Y","BRBBQ.BRBBQ3","MEM"
"2025/11/27","BRIXX","FOUR","ZOA","2024/03/21","Y","BRIXX.BRIXX4","NUQ SJC"
"2025/11/27","REBAS","ONE","ZOA","2024/07/11","Y","BRIXX.REBAS1","APC DVO HES O69 STS"
"2025/11/27","AANDY","TWO","ZMP","2022/11/03","Y","BRKSR.AANDY2","OFF OMA"
"2025/11/27","BRNKO","FOUR","ZDV","2025/04/17","Y","BRNKO.BRNKO4","APA BJC FNL GXY LMO"
"2025/11/27","GRUUB","ONE","ZAN","2018/11/08","Y","BRODE.GRUUB1","EDF"
"2025/11/27","BROOK","FOUR","ZTL","2020/05/21","N","BROOK.BROOK4","GSO INT"
"2025/11/27","BRRTO","ONE","ZAB","2021/12/02","Y","BRRTO.BRRTO1","ABQ"
"2025/11/27","BRWNZ","FOUR","ZOB","2021/04/22","Y","BRWNZ.BRWNZ4","1G3 AKR BKL CAK CGF CLE LNN LPR"
"2025/11/27","BIG SUR","THREE","ZOA","2016/09/15","N","BSR.BSR3","SFO"
"2025/11/27","BTSEY","TWO","ZTL","2016/03/31","N","BTSEY.BTSEY2","CLT"
"2025/11/27","ANTHM","FIVE","ZDC","2024/12/26","Y","BUBBI.ANTHM5","BWI MTN"
"2025/11/27","CBUSS","TWO","ZID","2021/12/02","Y","BUGZZ.CBUSS2","CMH LCK OSU TZR"
"2025/11/27","CAPSS","THREE","ZDC","2018/03/29","Y","BULII.CAPSS3","DCA"
"2025/11/27","BUNTR","THREE","ZAB","2017/01/05","N","BUNTR.BUNTR3","PHX"
"2025/11/27","BUUDD","THREE","ZKC","2018/11/08","Y","BUUDD.BUUDD3","BLV CPS SUS"
